DEPARTAMENTO,ANO,COBERTURA
VICHADA,2011,0.08
ARAUCA,2012,0.16
CASANARE,2012,0.29
GUAINIA,2012,0.11
GUAVIARE,2012,0.15
META,2012,0.3
VAUPES,2012,0.06
VICHADA,2012,0.11
ARAUCA,2013,0.14
CASANARE,2013,0.25
GUAINIA,2013,0.09
GUAVIARE,2013,0.17
META,2013,0.34
VAUPES,2013,0.08
VICHADA,2013,0.1
ARAUCA,2014,0.12
CASANARE,2014,0.26
GUAINIA,2014,0.1
GUAVIARE,2014,0.15
META,2014,0.34
VAUPES,2014,0.03
VICHADA,2014,0.08
ARAUCA,2015,0.11
CASANARE,2015,0.27
GUAINIA,2015,0.11
GUAVIARE,2015,0.19
META,2015,0.36
VAUPES,2015,0.04
VICHADA,2015,0.09
CAUCA,2010,0.27
CHOCO,2010,0.26
NARINO,2010,0.18
VALLE DEL CAUCA,2010,0.32
CAUCA,2011,0.27
CHOCO,2011,0.24
NARINO,2011,0.21
VALLE DEL CAUCA,2011,0.35
CAUCA,2012,0.24
CHOCO,2012,0.24
NARINO,2012,0.22
VALLE DEL CAUCA,2012,0.34
CAUCA,2013,0.27
CHOCO,2013,0.24
NARINO,2013,0.23
VALLE DEL CAUCA,2013,0.37
CAUCA,2014,0.29
CHOCO,2014,0.24
NARINO,2014,0.24
VALLE DEL CAUCA,2014,0.39
CAUCA,2015,0.31
CHOCO,2015,0.24
NARINO,2015,0.23
VALLE DEL CAUCA,2015,0.41
